"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV2080","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",NA
"ASV2081","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA
"ASV2082","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA
"ASV2083","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"ASV2084","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","flaccumfaciens"
"ASV2085","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","kribbensis"
"ASV2086","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","AKIW781",NA
"ASV2087","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacteraceae",NA
"ASV2088","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter",NA
"ASV2089","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","WD2101 soil group",NA
"ASV2090","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV2091","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","WD2101 soil group",NA
"ASV2092","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter",NA
"ASV2093","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum",NA
"ASV2094","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmataceae",NA
"ASV2095","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA
